26
-77,0.6770833333333334
78-110,0.9375
111-154,1.0625
155-225,1.0416666666666667
226-,1.0795454545454546
24
-77,0.920528982820418
78-110,0.9534050179211471
111-154,0.9180937209611045
155-225,1.0520331232233346
226-,1.2031063321385902
23
-77,1.0285714285714287
78-110,0.8678571428571429
111-154,0.9183673469387755
155-225,1.08
226-,1.2342857142857144
19
-77,1.3199999999999998
78-110,1.1733333333333331
111-154,0.8799999999999999
155-225,0.7333333333333333
226-,0.9899999999999999
29
-77,0.9827586206896551
78-110,1.1793103448275861
111-154,0.6551724137931034
155-225,1.1793103448275861
226-,0.7370689655172413
16
-77,1.025108225108225
78-110,0.823747680890538
111-154,0.961038961038961
155-225,0.9009740259740259
226-,1.4415584415584415
5
-77,1.0070393374741204
78-110,0.9943188405797104
111-154,0.9893719806763287
155-225,0.9275362318840581
226-,1.0512077294685995
4
-77,0.8133472367049007
78-110,1.0326320309145554
111-154,1.0351692103516918
155-225,1.3179237631792375
226-,0.9150156412930134
3
-77,1.2270833333333335
78-110,0.9203125000000001
111-154,1.1625
155-225,0.93
226-,0.8303571428571429
2
-77,1.0565001036699153
78-110,1.1822102425876013
111-154,1.0265691182133232
155-225,0.998261020780802
226-,0.7489114658925983

