Cudzinci versus cudzinci,0.5657591714875546
Blondína z Londýna,0.4181719952267711
Na homosexuálnu nôtu,0.3554862931174097
Policajné inferno,0.5046888038827189
Zvieracia farma,0.5309032494356195
Otázky a odpovede,0.44135546323026914
Ženské pokolenie,0.37473369720391436
Morbídne,0.43343922578179833
Alkoholické opojenie,0.49787482799216953
Po�~Míta�~Mové šialenstvo,0.37251835346233264
Páni a ich sluhovia,0.4944311430342728
Zo školských lavíc,0.5223933054340254
Sexuálne harašenie,0.3386290976776658
Manželské pochúťky,0.46624168221893453
Mužské pokolenie,0.43342561513550415
V obchodoch,0.5119763463788359
"Láska, bože láska",0.5761840838832348
Zo života,0.4822656257239113
Politické pobavenie,0.5176218720656897
Ach tie babky,0.4335184015051019
CD-Rómovia,0.5131252854427292
Svokry,0.6013028943954822
Náboženský humor,0.46728302670975086

